,number,value,datetime_start,datetime_complete,duration,params_a_thresh1,params_a_thresh2,params_a_thresh3,params_a_thresh4,params_beta,params_beta_out,params_beta_re,params_do,params_lr,params_out_thresh1,params_out_thresh2,params_re_thresh1,params_re_thresh2,params_re_thresh3,params_re_thresh4,state
0,0,46.8217658996582,2024-03-09 22:13:27.078447,2024-03-09 23:53:29.328926,0 days 01:40:02.250479,24.14804850839552,8.705196502743302,25.457568298566656,38.89868923524451,0.8364181114137388,0.8877286162285448,0.5621469668615829,0.01495168788934992,0.0001246923242269125,9.66505877531899,30.215289591871343,39.078790415573735,29.914453168403792,17.961092124810666,18.503767452497325,COMPLETE
1,1,87.75468444824219,2024-03-09 23:53:29.390814,2024-03-10 00:22:16.972798,0 days 00:28:47.581984,18.694148755735057,32.54513253240053,42.623932633490966,33.78888180707709,0.8406655387914931,0.3676250543616044,0.8111615637280576,0.14917582538959862,0.0006091240821915014,18.716781253009863,23.375438396962288,36.23913190595872,10.535205045366169,38.496165659023,37.18975876129634,COMPLETE
2,2,87.91520690917969,2024-03-10 00:22:16.995483,2024-03-10 00:59:17.644737,0 days 00:37:00.649254,12.572368725105258,39.40411255153983,33.42698010958485,43.88464097914778,0.17323855855716552,0.3835283451298265,0.7392256242743976,0.7288081643067245,0.000634948747727468,27.65460808493841,14.828292969330567,8.084952962405596,28.844085940807165,26.652695880516973,41.76347953368189,COMPLETE
3,3,87.7423095703125,2024-03-10 00:59:17.707499,2024-03-10 01:40:22.455488,0 days 00:41:04.747989,37.460966879466234,44.53387146337519,18.138714243328526,49.478455533438634,0.36599220862763215,0.4626106288110742,0.48408622207599084,0.38211402180861204,0.0005340050813005703,16.940393199815812,2.784012251663486,11.705490648843236,14.041904837311035,14.220721716248601,15.392189007504742,COMPLETE
4,4,44.83888626098633,2024-03-10 01:40:22.476319,2024-03-10 03:10:47.211440,0 days 01:30:24.735121,19.58794414352232,30.668943952690064,8.428338336534651,22.205160244752875,0.552669420146198,0.6357308126351245,0.1559826225374984,0.5853706575329012,0.0007419824830226382,20.07041856997057,7.688074581581245,28.694992410731498,44.707881453679306,17.70458303901189,17.842462307009395,COMPLETE
5,5,49.071075439453125,2024-03-10 03:10:47.241107,2024-03-10 05:05:38.071071,0 days 01:54:50.829964,26.909726319894542,18.98858436922156,41.28996696376394,43.526139339300066,0.2167454927683674,0.37143061411398826,0.5017993507777871,0.6667822736870025,0.0004998905889294094,17.402950106910627,1.9762063382146358,23.302432597846547,39.660557321297816,25.830462125575583,7.492603152328584,COMPLETE
6,6,87.71710205078125,2024-03-10 05:05:38.151205,2024-03-10 06:02:57.832359,0 days 00:57:19.681154,22.165436443610293,40.208133697984636,12.090418113418545,47.03043460060559,0.41908908192115246,0.8965574146367218,0.32365194431236455,0.09135796766712598,0.0006595730836563502,40.62845057891607,22.395075610729904,30.36882285502488,26.041784396254165,14.565288273985644,38.71010963242826,COMPLETE
7,7,87.7152099609375,2024-03-10 06:02:57.882288,2024-03-10 06:56:21.866458,0 days 00:53:23.984170,47.191561032377166,49.57143874993244,44.39970010962288,5.627410071344547,0.8331716790838909,0.41603858077737055,0.2405447083072131,0.7371674187893291,0.000772428907937475,30.177112359382598,49.611353131953564,25.379073334699044,30.475885157859686,31.887250958160298,32.8662983693749,COMPLETE
8,8,43.63385772705078,2024-03-10 06:56:21.886567,2024-03-10 08:10:08.722818,0 days 01:13:46.836251,24.200347600950114,46.32642467924991,36.650658080300246,19.71176494555868,0.8691181037886607,0.5859184925908621,0.18525695991378363,0.4266910698594458,0.000991169819709162,8.945316556418545,47.03096690361973,39.929965718111795,28.08466516460287,11.788136423451956,19.659776077901203,COMPLETE
9,9,87.93296813964844,2024-03-10 08:10:08.742792,2024-03-10 08:47:05.680113,0 days 00:36:56.937321,24.9981791751783,25.364535078813528,10.461819666600679,35.121462374820595,0.7186791791190006,0.4770502464560583,0.6076718443920066,0.22161023895332274,0.0007255005386902611,11.753243444870332,36.26077286694322,31.034910671020608,27.64506422417026,48.408146811943965,8.313370612331742,COMPLETE
10,10,44.087158203125,2024-03-10 08:47:05.725315,2024-03-10 09:40:34.276126,0 days 00:53:28.550811,4.779988051100613,1.5307493202825242,31.538240904735822,14.646764059533977,0.5796490740941157,0.11973585229847339,0.30676889565630905,0.4249760377735084,0.0009949127534094647,1.609132353506432,48.64637106308699,45.88182121873736,1.6983758297006304,2.7519894059450962,47.62171320051058,COMPLETE
